ID, Salary Paid ,Taxable Benefits,Employer,Job Title,Calendar Year
1," $115,377.50 ",554.48,York University,Associate Professor,2013
2," $118,193.61 ",0,York University,Course Director,2013
3," $107,437.57 ",449.94,York University,Manager Job Evaluation & Compensation Services,2013
4," $192,969.62 ",286.24,York University,Assistant Professor,2013
5," $164,734.84 ",698.48,York University,Associate Professor,2013
6," $116,438.64 ",165.72,York University,Assistant Professor,2013
7," $144,570.80 ",613.12,York University,Associate Professor,2013
8," $166,952.04 ",692.92,York University,Special Assistant Professor,2013
9," $127,333.60 ",522.34,York University,Associate Professor,2013
10," $156,206.68 ",651.51,York University,Associate Dean / Associate Professor,2013
11," $117,922.76 ",515.44,York University,Associate Professor,2013
12," $126,141.60 ",535,York University,Associate Professor,2013
13," $156,766.24 ",644.8,York University,Associate Professor,2013
14," $131,782.92 ",558.64,York University,Associate Professor,2013
15," $165,177.56 ",233.96,York University,Professor,2013
16," $144,593.00 ",613.12,York University,Associate Professor,2013
17," $102,075.85 ",427.56,York University,Director Information Technology Services,2013
18," $124,499.54 ",603.56,York University,Associate Professor,2013
19," $122,534.88 ",540.72,York University,Associate Professor,2013
20," $121,992.92 ",518.86,York University,Associate Professor,2013
21," $132,125.41 ",196.05,York University,Professor,2013
22," $149,075.16 ",536.52,York University,Associate Professor,2013
23," $137,124.16 ",522.74,York University,Executive Director,2013
24," $121,287.12 ",514,York University,Assistant Professor,2013
25," $122,377.76 ",653.92,York University,Associate Professor,2013
26," $126,891.16 ",517.12,York University,Associate Professor,2013
27," $160,835.94 ",677.49,York University,Professor,2013
28," $105,733.20 ",447.07,York University,Associate Professor,2013
29," $138,278.11 ",558.81,York University,Executive Officer,2013
30," $115,024.12 ",524.51,York University,Associate Professor,2013
31," $169,777.60 ",719.6,York University,Associate Professor,2013
32," $122,262.56 ",518.2,York University,Assistant Professor,2013
33," $182,466.68 ",773.51,York University,Professor,2013
34," $159,873.92 ",677.44,York University,Professor,2013
35," $123,453.48 ",0,York University,Research Assistant / Course Director,2013
36," $189,609.58 ",782.48,York University,Professor,2013
37," $131,853.80 ",558.92,York University,Associate Professor,2013
38," $135,340.52 ",633.36,York University,Associate Professor,2013
39," $157,850.80 ",0,York University,Associate Professor,2013
40," $124,204.44 ",529.44,York University,Associate Professor,2013
41," $107,014.32 ",453.96,York University,Associate Professor,2013
42," $163,195.49 ",669.66,York University,Professor,2013
43," $203,545.12 ",841.84,York University,Associate Professor,2013
44," $134,544.16 ",570.2,York University,Associate Professor,2013
45," $206,903.74 ",319.32,York University,Professor,2013
46," $195,938.96 ",738.52,York University,University Librarian,2013
47," $111,928.44 ",474.92,York University,Associate Professor,2013
48," $123,181.18 ",522.3,York University,Associate Professor,2013
49," $104,818.00 ",407.56,York University,Associate Lecturer,2013
50," $119,531.72 ",506.92,York University,Associate Professor,2013
51," $129,029.42 ",571.6,York University,Associate Professor,2013
52," $173,159.08 ",245.48,York University,Professor,2013
53," $144,272.46 ",586.72,York University,Associate Professor,2013
54," $186,884.13 ",760.76,York University,Assistant Vice-President Human Resources,2013
55," $179,357.81 ",760.18,York University,Professor,2013
56," $144,453.27 ",613.12,York University,Associate Professor,2013
57," $159,468.16 ",637.28,York University,Associate Professor,2013
58," $113,061.52 ",480.36,York University,Associate Professor,2013
59," $282,753.36 ",842.4,York University,Professor,2013
60," $252,811.11 ",842.4,York University,Professor,2013
61," $139,285.28 ",590.88,York University,Associate Professor,2013
62," $122,617.72 ",537.92,York University,Associate Professor,2013
63," $178,577.50 ",793.68,York University,Professor,2013
64," $106,594.41 ",0,York University,Consultant,2013
65," $121,880.34 ",494.95,York University,Director of Human Rights,2013
66," $135,230.60 ",574.12,York University,Associate Professor,2013
67," $335,956.77 ",842.4,York University,Professor,2013
68," $153,317.24 ",230.36,York University,Associate Professor,2013
69," $125,014.36 ",538.44,York University,Associate Professor,2013
70," $121,622.80 ",525.24,York University,Associate Professor,2013
71," $137,039.20 ",213.12,York University,Associate Lecturer,2013
72," $125,173.80 ",530.8,York University,Associate Professor,2013
73," $149,232.64 ",632.76,York University,Professor,2013
74," $135,424.32 ",574.12,York University,Associate Professor,2013
75," $147,025.84 ",620.16,York University,Professor,2013
76," $144,020.96 ",610.64,York University,Associate Professor,2013
77," $170,023.36 ",216.73,York University,Professor,2013
78," $110,923.92 ",453.45,York University,Director York University Card Food & Parking Services,2013
79," $102,900.33 ",431.07,York University,Associate Professor,2013
80," $142,156.94 ",225.84,York University,Professor,2013
81," $113,996.48 ",483.44,York University,Associate Professor,2013
82," $133,005.80 ",618.68,York University,Associate Professor,2013
83," $202,651.88 ",286.24,York University,Professor,2013
84," $146,207.26 ",687.28,York University,Professor,2013
85," $114,795.10 ",540.72,York University,Associate Professor,2013
86," $120,471.48 ",526.64,York University,Associate Professor,2013
87," $110,621.32 ",586.72,York University,Associate Professor,2013
88," $103,855.32 ",441.28,York University,Assistant Professor,2013
89," $151,392.90 ",627.76,York University,Professor,2013
90," $135,017.08 ",570.44,York University,Associate Professor,2013
91," $168,196.23 ",717.51,York University,Associate Dean / Associate Professor,2013
92," $182,852.88 ",258.16,York University,Associate Professor,2013
93," $164,872.84 ",235.64,York University,Professor,2013
94," $128,087.44 ",543.2,York University,Associate Lecturer,2013
95," $164,806.32 ",698.48,York University,Professor,2013
96," $116,666.62 ",0,York University,Professor Emeritus,2013
97," $205,613.64 ",820.4,York University,Professor,2013
98," $199,990.84 ",283.12,York University,Professor,2013
99," $333,820.36 ",463.68,York University,Professor,2013
100," $198,127.50 ",823.52,York University,Associate Professor,2013
101," $103,711.89 ",433.15,York University,Director of Development,2013
102," $150,509.42 ",234.28,York University,Professor,2013
103," $110,436.48 ",215.96,York University,Course Director / Writing Instructor,2013
104," $140,316.70 ",645,York University,Professor,2013
105," $137,598.01 ",558.81,York University,Director Registrarial Enterprise Initiatives,2013
106," $147,321.68 ",621.56,York University,Associate Professor,2013
107," $224,954.32 ",842.4,York University,Professor,2013
108," $169,471.84 ",679.31,York University,Associate Professor,2013
109," $135,482.20 ",581.12,York University,Associate Professor,2013
110," $106,833.04 ",0,York University,Course Director,2013
111," $168,251.90 ",678.75,York University,Associate Professor,2013
112," $183,004.84 ",775.52,York University,Professor,2013
113," $162,110.64 ",687.28,York University,Professor,2013
114," $128,458.04 ",544.92,York University,Associate Professor,2013
115," $128,579.52 ",0,York University,Writing Instructor,2013
116," $154,008.28 ",224.44,York University,Associate Professor,2013
117," $149,582.04 ",634.24,York University,Associate Professor,2013
118," $122,642.90 ",491.28,York University,Assistant Professor,2013
119," $148,643.18 ",669.28,York University,Professor,2013
120," $224,759.64 ",788.52,York University,Associate Professor,2013
121," $104,287.40 ",0,York University,Consultant,2013
122," $122,698.16 ",510.44,York University,Director Career Development Centre,2013
123," $168,050.20 ",712.56,York University,Professor,2013
124," $227,110.61 ",840.76,York University,Associate Dean / Associate Professor,2013
125," $103,272.79 ",107.52,York University,Executive Director Information Services & Technology,2013
126," $134,203.32 ",568.56,York University,Associate Professor,2013
127," $110,871.12 ",471.62,York University,Associate Professor,2013
128," $137,426.36 ",592.36,York University,Associate Professor,2013
129," $104,241.83 ",436.64,York University,Process Reengineering and Service Enhancement-Client Solutions Manager,2013
130," $119,283.82 ",506.36,York University,Associate Professor,2013
131," $102,326.23 ",435.42,York University,Associate Professor,2013
132," $128,985.84 ",182.56,York University,Assistant Professor,2013
133," $106,536.08 ",151.64,York University,Associate Professor,2013
134," $110,388.70 ",0,York University,Professor,2013
135," $119,211.48 ",505.48,York University,Associate Professor,2013
136," $137,032.72 ",561.68,York University,Assistant Professor,2013
137," $107,597.52 ",434.44,York University,Assistant Professor,2013
138," $132,045.64 ",498.8,York University,Associate Professor,2013
139," $125,253.68 ",517.4,York University,Professor,2013
140," $115,961.88 ",483.42,York University,Associate Professor,2013
141," $112,596.66 ",307.49,York University,Engineer Second Class,2013
142," $148,141.28 ",644,York University,Associate Professor,2013
143," $162,031.60 ",686.16,York University,Associate Professor,2013
144," $162,663.24 ",681.92,York University,Professor,2013
145," $159,698.02 ",551.68,York University,Associate Professor,2013
146," $119,392.56 ",395.27,York University,Director of Research / Course Director,2013
147," $120,477.29 ",504.47,York University,Associate Professor,2013
148," $272,856.24 ",842.4,York University,Vice-President Finance & Administration,2013
149," $121,799.43 ",509.74,York University,Associate Director Research & Records,2013
150," $119,562.28 ",490.74,York University,Manager Instructional Technology Centre,2013
151," $110,171.06 ",464.81,York University,Assistant Director Academic Programs,2013
152," $158,406.16 ",725.2,York University,Professor,2013
153," $105,000.00 ",509.34,York University,Dean / Professor,2013
154," $136,480.36 ",578.36,York University,Associate Professor,2013
155," $105,311.60 ",147.12,York University,Director Counselling / Course Director,2013
156," $144,862.65 ",608.55,York University,Professor,2013
157," $291,071.78 ",327.37,York University,Professor,2013
158," $112,601.72 ",473.9,York University,Associate Professor,2013
159," $124,551.72 ",526.87,York University,Associate Professor,2013
160," $148,432.28 ",651.28,York University,Associate Professor,2013
161," $194,660.28 ",789.97,York University,Associate Professor,2013
162," $140,663.04 ",614.52,York University,Associate Professor,2013
163," $146,158.76 ",620.16,York University,Associate Professor,2013
164," $148,724.24 ",631.46,York University,Associate Professor,2013
165," $176,800.40 ",749.12,York University,Professor,2013
166," $164,602.09 ",609.8,York University,Associate Professor,2013
167," $167,063.60 ",212.99,York University,Associate Professor,2013
168," $133,605.12 ",561.6,York University,Director Payroll & Human Resources Information Management,2013
169," $122,186.75 ",496.39,York University,Assistant Dean,2013
170," $128,646.07 ",533.27,York University,Associate Dean / Associate Professor,2013
171," $115,618.00 ",558.91,York University,Associate Professor,2013
172," $100,928.39 ",134.41,York University,Administrative Assistant / Course Director,2013
173," $122,661.00 ",520.68,York University,Associate Professor,2013
174," $120,437.71 ",502.12,York University,Associate Professor,2013
175," $126,171.60 ",535,York University,Associate Librarian,2013
176," $150,506.16 ",638.4,York University,Professor,2013
177," $140,656.05 ",597.16,York University,Associate Professor,2013
178," $134,161.76 ",579.76,York University,Associate Professor,2013
179," $117,387.12 ",498.56,York University,Associate Professor,2013
180," $143,189.76 ",606.44,York University,Associate Professor,2013
181," $212,677.35 ",840.2,York University,Professor,2013
182," $157,607.40 ",223.04,York University,Associate Professor,2013
183," $235,807.44 ",691.8,York University,Associate Professor,2013
184," $106,338.48 ",449.28,York University,Associate Professor,2013
185," $155,400.48 ",657.44,York University,Associate Professor,2013
186," $110,816.16 ",464.06,York University,Associate Director Employee Relations,2013
187," $177,731.80 ",715.4,York University,Professor,2013
188," $131,112.04 ",516.8,York University,Associate Professor,2013
189," $122,076.04 ",584.92,York University,Associate Professor,2013
190," $126,636.80 ",537.64,York University,Associate Professor,2013
191," $158,705.47 ",617.46,York University,Executive Director,2013
192," $109,561.20 ",466.3,York University,Associate Librarian,2013
193," $219,250.72 ",842.4,York University,Associate Professor,2013
194," $152,049.28 ",587.84,York University,Associate Professor,2013
195," $151,168.80 ",641.2,York University,Associate Professor,2013
196," $126,612.18 ",312,York University,York University English as a Second Language Instructor,2013
197," $111,592.68 ",466.91,York University,Associate Director Administration,2013
198," $111,449.16 ",524.96,York University,Associate Professor,2013
199," $117,995.51 ",498.43,York University,Senior Executive Officer,2013
200," $104,645.36 ",207.56,York University,Associate Professor,2013
201," $121,093.52 ",537.64,York University,Associate Professor,2013
202," $140,585.52 ",626.08,York University,Associate Professor,2013
203," $120,518.56 ",511.24,York University,Associate Professor,2013
204," $226,297.85 ",319.32,York University,Professor,2013
205," $113,054.92 ",333.06,York University,Associate Professor,2013
206," $121,398.74 ",577.98,York University,Associate Professor,2013
207," $133,820.28 ",567.12,York University,Associate Professor,2013
208," $115,522.68 ",490.12,York University,Associate Professor,2013
209," $101,528.23 ",424.1,York University,Director Information & Technology Services & Facilities,2013
210," $153,843.80 ",639.31,York University,Associate Professor,2013
211," $100,333.48 ",419.8,York University,Manager Workgroup Technology Services,2013
212," $141,074.04 ",592.48,York University,Director Advancement,2013
213," $144,640.76 ",613.12,York University,Associate Professor,2013
214," $139,226.36 ",590.6,York University,Associate Professor,2013
215," $105,855.30 ",448.08,York University,Assistant Professor,2013
216," $140,315.16 ",595.2,York University,Professor,2013
217," $121,276.20 ",514,York University,Associate Lecturer,2013
218," $128,568.00 ",544.92,York University,Assistant Professor,2013
219," $179,484.20 ",781.08,York University,Professor,2013
220," $111,435.56 ",471.24,York University,Associate Professor,2013
221," $113,049.21 ",155.15,York University,Budget Officer,2013
222," $110,896.00 ",458.16,York University,Associate Professor,2013
223," $122,198.16 ",510.44,York University,Academic Policy Analyst,2013
224," $104,300.80 ",442.64,York University,Associate Professor,2013
225," $131,767.64 ",558.12,York University,Associate Professor,2013
226," $136,634.71 ",567.26,York University,Manager Database Administration,2013
227," $101,219.40 ",407.42,York University,Assistant Professor,2013
228," $164,437.60 ",697.12,York University,Associate Professor,2013
229," $209,058.60 ",842.4,York University,Associate Professor,2013
230," $115,877.44 ",485.35,York University,Lecturer,2013
231," $135,441.88 ",575.32,York University,Professor,2013
232," $114,665.60 ",459.52,York University,Associate Professor,2013
233," $100,980.64 ",428.64,York University,Associate Professor,2013
234," $119,403.60 ",509.86,York University,Associate Professor,2013
235," $145,346.53 ",591.8,York University,Associate Professor,2013
236," $143,616.24 ",577.14,York University,Director Energy Management,2013
237," $122,136.00 ",193.76,York University,Course Director,2013
238," $165,142.60 ",689.86,York University,Associate Professor,2013
239," $179,443.20 ",727.96,York University,Professor,2013
240," $160,281.16 ",679.12,York University,Professor,2013
241," $160,033.64 ",402.68,York University,Associate Professor,2013
242," $169,807.20 ",215.09,York University,Professor,2013
243," $142,025.64 ",554.72,York University,Associate Professor,2013
244," $114,959.20 ",478.56,York University,Associate Professor,2013
245," $134,302.78 ",568.24,York University,Associate Lecturer,2013
246," $139,191.56 ",612,York University,Associate Professor,2013
247," $128,538.20 ",0,York University,Academic Advisor,2013
248," $157,991.16 ",691.8,York University,Professor,2013
249," $126,998.77 ",524.89,York University,Associate Professor,2013
250," $103,167.12 ",431.09,York University,Senior Institution Analyst,2013
251," $114,772.64 ",445.7,York University,Assistant Professor,2013
252," $264,437.45 ",355.04,York University,University Professor,2013
253," $203,403.32 ",842.4,York University,Professor,2013
254," $157,080.56 ",223.04,York University,Associate Professor,2013
255," $102,830.80 ",429.69,York University,Manager Communications,2013
256," $119,403.40 ",506.92,York University,Associate Professor,2013
257," $101,890.77 ",0,York University,Advisor,2013
258," $181,949.92 ",0,York University,Consultant,2013
259," $123,111.08 ",191.08,York University,Associate Lecturer,2013
260," $113,861.64 ",484.24,York University,Associate Librarian,2013
261," $174,839.14 ",689.96,York University,Associate Professor,2013
262," $103,977.40 ",445.44,York University,Assistant Librarian,2013
263," $260,144.79 ",842.4,York University,Professor,2013
264," $190,584.00 ",623.32,York University,Executive Director Office of Institutional Research & Analysis & Senior Policy Advisor,2013
265," $161,121.88 ",233.44,York University,Associate Professor,2013
266," $160,018.60 ",678.08,York University,Associate Professor,2013
267," $113,140.20 ",480.36,York University,Associate Professor,2013
268," $196,691.36 ",833.04,York University,Professor,2013
269," $128,672.56 ",567.44,York University,Associate Professor,2013
270," $170,622.64 ",721.84,York University,Associate Dean / Senior Lecturer,2013
271," $138,907.32 ",583.92,York University,Professor,2013
272," $133,295.56 ",620.16,York University,Associate Professor,2013
273," $113,996.48 ",483.44,York University,Associate Professor,2013
274," $192,470.50 ",662.72,York University,Dean / Professor,2013
275," $148,219.00 ",530.8,York University,Associate Lecturer,2013
276," $323,697.15 ",842.4,York University,Professor,2013
277," $111,700.55 ",466.87,York University,Executive Officer,2013
278," $122,690.00 ",520.39,York University,Associate Professor,2013
279," $112,737.59 ",462,York University,Associate Director Finance & Administration,2013
280," $129,681.40 ",540.48,York University,Associate Professor,2013
281," $133,332.00 ",565.76,York University,Associate Professor,2013
282," $116,232.84 ",420.12,York University,Assistant Lecturer,2013
283," $121,105.95 ",506.14,York University,Director Computing Services,2013
284," $160,538.95 ",650.91,York University,Associate Professor,2013
285," $103,167.12 ",431.09,York University,Manager User Services,2013
286," $112,972.98 ",547.4,York University,Associate Professor,2013
287," $137,371.00 ",175.15,York University,Associate Professor,2013
288," $109,103.93 ",469.11,York University,Associate Professor,2013
289," $137,147.63 ",565.74,York University,Associate Professor,2013
290," $126,415.70 ",491.8,York University,Associate Professor,2013
291," $218,486.78 ",842.4,York University,Professor,2013
292," $343,531.68 ",842.4,York University,Associate Professor,2013
293," $132,883.06 ",565.76,York University,Associate Professor,2013
294," $153,795.52 ",652.4,York University,Professor,2013
295," $116,319.92 ",493.16,York University,Assistant Professor,2013
296," $133,522.96 ",565.76,York University,Assistant Professor,2013
297," $108,051.37 ",530.04,York University,Associate Professor,2013
298," $149,843.84 ",635.64,York University,Associate Professor,2013
299," $148,837.89 ",619.58,York University,Associate Librarian,2013
300," $117,569.64 ",498.56,York University,Associate Professor,2013
301," $127,147.52 ",544.92,York University,Associate Professor,2013
302," $116,214.34 ",550.56,York University,Associate Professor,2013
303," $161,098.72 ",228.6,York University,Professor,2013
304," $119,853.22 ",496.28,York University,Associate Professor,2013
305," $112,792.78 ",439.22,York University,Associate Dean / Associate Professor,2013
306," $159,049.94 ",655.64,York University,Counsel & Accessibility for Ontarians with Disabilities Office Coordinator,2013
307," $154,929.68 ",673.48,York University,Professor,2013
308," $143,607.32 ",624.4,York University,Associate Professor,2013
309," $172,096.20 ",720.42,York University,Professor,2013
310," $227,972.64 ",842.4,York University,Associate Professor,2013
311," $153,866.28 ",614.52,York University,Senior Lecturer,2013
312," $121,209.67 ",507.6,York University,Executive Officer,2013
313," $120,518.56 ",511.24,York University,Associate Professor,2013
314," $109,561.20 ",466.3,York University,Associate Librarian,2013
315," $143,953.97 ",600.05,York University,Associate Professor,2013
316," $106,060.92 ",470.69,York University,Associate Professor,2013
317," $120,198.48 ",518.3,York University,Associate Professor,2013
318," $123,903.24 ",525.24,York University,Associate Professor,2013
319," $204,792.36 ",814.44,York University,Associate Professor,2013
320," $153,936.24 ",651.32,York University,Associate Professor,2013
321," $160,127.21 ",648.41,York University,Associate Professor,2013
322," $110,402.81 ",461.96,York University,Associate Director Learning Strategies,2013
323," $169,713.10 ",689.46,York University,Comptroller,2013
324," $250,670.01 ",272.54,York University,Executive Director Student Services & International relations,2013
325," $223,811.70 ",343.52,York University,Associate Professor,2013
326," $104,107.20 ",601.92,York University,Professor,2013
327," $122,705.91 ",520.68,York University,Associate Librarian,2013
328," $131,668.16 ",545.12,York University,Associate Professor,2013
329," $126,752.00 ",537.64,York University,Associate Professor,2013
330," $108,742.08 ",462.04,York University,Associate Professor,2013
331," $157,319.02 ",658.08,York University,University Professor,2013
332," $113,896.08 ",491.48,York University,Associate Professor,2013
333," $142,250.28 ",603.32,York University,Associate Professor,2013
334," $118,742.36 ",504.12,York University,Associate Professor,2013
335," $107,519.51 ",446.96,York University,Associate Professor,2013
336," $184,221.55 ",818.96,York University,Professor,2013
337," $143,884.14 ",616.2,York University,Professor,2013
338," $212,002.16 ",842.4,York University,Associate Professor,2013
339," $104,614.00 ",444.08,York University,Associate Professor,2013
340," $167,733.66 ",260.25,York University,Professor,2013
341," $165,137.14 ",607.56,York University,Associate Professor,2013
342," $130,566.52 ",554.18,York University,Associate Professor,2013
343," $114,081.57 ",477.36,York University,Client Solutions Manager,2013
344," $101,618.00 ",449.64,York University,Assistant Professor,2013
345," $204,335.72 ",699.25,York University,Senior Executive Officer,2013
346," $166,929.68 ",397.14,York University,Associate Librarian,2013
347," $124,033.66 ",525.09,York University,Associate Professor,2013
