ID, Salary Paid ,Taxable Benefits,Employer,Job Title,Calendar Year
1," $123,619.02 ",302.71,York University,Associate Professor,2012
2," $109,807.68 ",0,York University,Course Director,2012
3," $127,499.94 ",0,York University,Professor,2012
4," $108,844.32 ",247.36,York University,Manager Job Evaluation & Compensation Services,2012
5," $192,404.39 ",158.59,York University,Assistant Professor,2012
6," $163,357.71 ",382.8,York University,Associate Professor,2012
7," $111,508.49 ",267.93,York University,Assistant Professor,2012
8," $134,321.08 ",335.01,York University,Associate Professor,2012
9," $161,900.00 ",380.18,York University,Special Assistant Professor,2012
10," $118,157.51 ",269.51,York University,Associate Professor,2012
11," $140,080.11 ",327.52,York University,Associate Professor / Associate Dean,2012
12," $111,631.18 ",270.2,York University,Associate Professor,2012
13," $121,021.15 ",290.96,York University,Associate Professor,2012
14," $152,894.00 ",360.77,York University,Associate Professor,2012
15," $128,551.89 ",304.58,York University,Associate Professor,2012
16," $143,634.51 ",127.6,York University,Professor,2012
17," $111,240.00 ",267.02,York University,Assistant Professor,2012
18," $139,110.84 ",334.47,York University,Associate Professor,2012
19," $101,110.98 ",223.79,York University,Application Development Manager,2012
20," $121,676.05 ",322.17,York University,Associate Professor,2012
21," $119,735.25 ",293.58,York University,Associate Professor,2012
22," $118,630.27 ",277.67,York University,Assistant Professor,2012
23," $127,800.80 ",128.46,York University,Professor,2012
24," $121,446.23 ",292.41,York University,Associate Professor,2012
25," $119,137.33 ",288.82,York University,Senior Director Alumni Relations,2012
26," $109,091.84 ",279.33,York University,Assistant Professor,2012
27," $150,325.65 ",355.61,York University,Associate Professor,2012
28," $109,865.07 ",263.78,York University,Associate Librarian,2012
29," $114,403.17 ",275.18,York University,Associate Professor,2012
30," $152,531.61 ",367.86,York University,Professor,2012
31," $101,012.96 ",242.31,York University,Associate Professor,2012
32," $133,982.24 ",315.7,York University,Executive Officer,2012
33," $149,928.52 ",361.37,York University,Associate Professor,2012
34," $163,906.62 ",385.79,York University,Associate Professor,2012
35," $117,218.21 ",282.3,York University,Assistant Professor,2012
36," $153,427.34 ",367.18,York University,Professor,2012
37," $178,342.66 ",430.4,York University,Professor,2012
38," $126,621.31 ",304.72,York University,Associate Professor,2012
39," $129,652.68 ",347.54,York University,Associate Professor,2012
40," $152,108.64 ",0,York University,Associate Professor,2012
41," $132,235.73 ",313.58,York University,Associate Professor,2012
42," $121,135.09 ",286.1,York University,Associate Professor,2012
43," $104,268.98 ",245.57,York University,Associate Professor,2012
44," $148,442.65 ",355.7,York University,Professor,2012
45," $196,906.96 ",475.38,York University,Associate Professor,2012
46," $149,342.99 ",311.28,York University,Associate Professor,2012
47," $179,767.88 ",489.84,York University,Professor,2012
48," $194,337.96 ",429.48,York University,University Librarian,2012
49," $117,436.63 ",255,York University,Associate Professor,2012
50," $116,827.47 ",280.14,York University,Associate Professor,2012
51," $107,959.76 ",216.02,York University,Associate Lecturer,2012
52," $114,540.96 ",275.18,York University,Associate Professor,2012
53," $129,623.84 ",305.3,York University,Associate Professor,2012
54," $167,116.77 ",134.94,York University,Professor,2012
55," $145,885.24 ",316.94,York University,Associate Professor,2012
56," $163,228.33 ",374.75,York University,Professor,2012
57," $140,643.89 ",337.44,York University,Associate Professor,2012
58," $147,643.26 ",335.7,York University,Associate Professor,2012
59," $108,197.58 ",259.77,York University,Associate Professor,2012
60," $275,124.17 ",489.84,York University,Professor,2012
61," $232,515.75 ",489.84,York University,Professor,2012
62," $133,263.89 ",322.79,York University,Associate Professor,2012
63," $117,566.38 ",303.6,York University,Associate Professor,2012
64," $183,186.28 ",435,York University,Professor,2012
65," $103,154.26 ",0,York University,Consultant,2012
66," $119,724.93 ",278.75,York University,Director of Human Rights,2012
67," $129,931.98 ",312.97,York University,Associate Professor,2012
68," $320,435.46 ",489.84,York University,Professor,2012
69," $157,094.27 ",378.65,York University,Associate Professor,2012
70," $123,617.37 ",283.58,York University,Associate Professor,2012
71," $120,775.46 ",277.82,York University,Associate Professor,2012
72," $145,664.64 ",117.64,York University,Associate Lecturer,2012
73," $126,128.50 ",284.21,York University,Associate Professor,2012
74," $145,659.44 ",345.87,York University,Professor,2012
75," $130,121.82 ",313.85,York University,Associate Professor,2012
76," $131,331.80 ",339.18,York University,Professor,2012
77," $138,550.00 ",333.58,York University,Associate Professor,2012
78," $164,042.50 ",132.43,York University,Professor,2012
79," $100,411.17 ",243.66,York University,"Director York University Card, Food & Parking Services",2012
80," $139,279.01 ",122.91,York University,Professor,2012
81," $107,781.81 ",258.87,York University,Associate Professor,2012
82," $151,487.12 ",0,York University,Course Director,2012
83," $140,428.39 ",338.25,York University,Associate Professor,2012
84," $196,031.32 ",159.22,York University,Professor,2012
85," $140,574.68 ",376.85,York University,Professor,2012
86," $122,584.29 ",288.09,York University,Associate Professor,2012
87," $120,336.73 ",279.93,York University,Associate Professor,2012
88," $114,360.30 ",308.58,York University,Associate Professor,2012
89," $132,918.26 ",322.55,York University,Associate Professor,2012
90," $101,171.93 ",238.35,York University,Assistant Professor,2012
91," $126,916.94 ",330.13,York University,Professor,2012
92," $129,722.60 ",312.2,York University,Associate Professor,2012
93," $161,901.49 ",396.52,York University,Associate Professor / Associate Dean,2012
94," $176,620.45 ",142.27,York University,Associate Professor,2012
95," $171,044.43 ",386.67,York University,Professor,2012
96," $122,928.91 ",295.65,York University,Associate Lecturer,2012
97," $139,728.33 ",383.43,York University,Professor,2012
98," $201,114.35 ",435.92,York University,Professor,2012
99," $193,422.39 ",467.04,York University,Professor,2012
100," $332,585.91 ",258.76,York University,Professor,2012
101," $189,584.80 ",448.38,York University,Associate Professor,2012
102," $106,005.95 ",242.55,York University,Associate Director Development,2012
103," $159,246.23 ",134.58,York University,Professor,2012
104," $127,717.17 ",299.9,York University,Assistant Professor,2012
105," $153,002.48 ",334.43,York University,Associate Professor,2012
106," $149,608.42 ",327.84,York University,Director Internal Audit,2012
107," $115,737.24 ",279.26,York University,"Director, Registrarial Enterprise Initiatives",2012
108," $135,907.44 ",337.49,York University,Associate Professor,2012
109," $155,019.12 ",380.52,York University,Associate Professor,2012
110," $215,323.40 ",489.84,York University,Professor,2012
111," $136,495.60 ",317.1,York University,Associate Professor,2012
112," $158,334.92 ",379.68,York University,Associate Professor,2012
113," $178,769.39 ",427.77,York University,Professor,2012
114," $156,284.91 ",376.85,York University,Professor,2012
115," $111,446.20 ",291.7,York University,Associate Professor,2012
116," $133,303.50 ",0,York University,Writing Instructor,2012
117," $150,483.88 ",359.94,York University,Associate Professor,2012
118," $144,001.97 ",346.62,York University,Associate Professor,2012
119," $109,999.92 ",269.4,York University,Assistant Professor,2012
120," $154,230.88 ",367.11,York University,Professor,2012
121," $210,629.84 ",386.22,York University,Associate Professor,2012
122," $121,355.42 ",0,York University,Consultant,2012
123," $119,137.33 ",288.82,York University,Director Career Development Centre,2012
124," $148,701.77 ",393.6,York University,Professor,2012
125," $195,001.24 ",467.8,York University,Associate Professor / Associate Dean,2012
126," $134,746.71 ",317.31,York University,Executive Director Information Services & Technology,2012
127," $128,924.78 ",310.34,York University,Associate Professor,2012
128," $104,726.51 ",251.42,York University,Assistant Professor,2012
129," $134,269.21 ",315.62,York University,Associate Professor,2012
130," $102,271.84 ",248.11,York University,Senior Director Intern,2012
131," $111,846.91 ",268.68,York University,Associate Professor,2012
132," $123,809.66 ",99.6,York University,Assistant Professor,2012
133," $101,800.06 ",81.67,York University,Associate Professor,2012
134," $216,433.63 ",159.47,York University,Professor,2012
135," $114,226.97 ",274.41,York University,Associate Professor,2012
136," $136,391.98 ",296.64,York University,Assistant Professor,2012
137," $192,615.36 ",464.93,York University,Associate Professor,2012
138," $112,138.87 ",269.51,York University,Associate Professor,2012
139," $108,415.61 ",260.45,York University,Associate Professor,2012
140," $127,886.17 ",172.26,York University,Engineer Second Class,2012
141," $144,117.93 ",386.67,York University,Professor,2012
142," $145,802.93 ",357.86,York University,Associate Professor,2012
143," $158,207.44 ",376.85,York University,Associate Professor,2012
144," $157,810.98 ",371.57,York University,Professor,2012
145," $137,566.81 ",300.6,York University,Assistant Professor,2012
146," $147,378.95 ",188.85,York University,Professor,2012
147," $117,238.11 ",225.01,York University,Director of Research,2012
148," $111,417.10 ",262.83,York University,Associate Professor,2012
149," $125,061.21 ",295.65,York University,Assistant Professor,2012
150," $272,856.68 ",489.84,York University,Vice?President Finance & Administration,2012
151," $119,137.33 ",288.82,York University,Associate Director Research & Records,2012
152," $117,131.84 ",278.63,York University,Manager Instructional Technology Centre,2012
153," $140,373.82 ",375.41,York University,Professor,2012
154," $110,287.72 ",264.13,York University,Assistant Director Academic Programs/Director Professional Masters of Laws Programs,2012
155," $168,548.12 ",399.33,York University,Professor,2012
156," $131,157.14 ",315.44,York University,Associate Professor,2012
157," $104,828.26 ",83.8,York University,Director Counselling,2012
158," $138,081.03 ",327.69,York University,Professor,2012
159," $244,649.08 ",183.72,York University,Professor,2012
160," $105,540.86 ",253.73,York University,Associate Professor,2012
161," $118,130.09 ",284.19,York University,Associate Professor,2012
162," $142,979.86 ",338.28,York University,Associate Professor,2012
163," $183,676.19 ",443.4,York University,Associate Professor,2012
164," $137,400.42 ",328.56,York University,Associate Professor,2012
165," $125,762.57 ",339.18,York University,Associate Professor,2012
166," $135,978.47 ",335.25,York University,Associate Professor,2012
167," $170,686.61 ",411.52,York University,Professor,2012
168," $158,870.34 ",323.84,York University,Associate Professor,2012
169," $161,140.77 ",130.02,York University,Associate Professor,2012
170," $135,231.27 ",322.3,York University,Director Payroll & Human Resources Information Management,2012
171," $111,713.48 ",272.72,York University,Assistant Dean,2012
172," $127,744.60 ",289.14,York University,Associate Professor / Associate Dean,2012
173," $112,459.52 ",308.56,York University,Associate Professor,2012
174," $117,608.82 ",290.49,York University,Associate Professor,2012
175," $110,187.36 ",263.82,York University,Associate Professor,2012
176," $118,477.62 ",281.69,York University,Associate Librarian,2012
177," $144,907.98 ",349.11,York University,Professor,2012
178," $123,719.52 ",322.86,York University,Associate Professor,2012
179," $127,658.57 ",309.54,York University,Associate Professor,2012
180," $112,438.36 ",270.27,York University,Associate Professor,2012
181," $142,308.52 ",325.1,York University,Associate Professor,2012
182," $208,325.59 ",486.6,York University,Professor,2012
183," $151,869.98 ",366.29,York University,Associate Professor,2012
184," $187,758.22 ",379.46,York University,Associate Professor,2012
185," $100,282.87 ",240.74,York University,Lecturer,2012
186," $151,471.00 ",365.37,York University,Associate Professor,2012
187," $108,538.08 ",263.22,York University,Associate Director Employee Relations,2012
188," $176,276.29 ",392.56,York University,Professor,2012
189," $116,776.46 ",280.91,York University,Associate Professor,2012
190," $122,804.74 ",326.85,York University,Associate Professor,2012
191," $121,506.67 ",292.41,York University,Associate Professor,2012
192," $153,176.34 ",335.12,York University,Process Re?engineering and Service Enhancement Project Director / Director Integrated Resource Planning,2012
193," $105,442.29 ",248.21,York University,Assistant Librarian,2012
194," $212,308.87 ",489.84,York University,Associate Professor,2012
195," $133,379.24 ",320.36,York University,Assistant Professor,2012
196," $149,357.70 ",350.79,York University,Associate Professor,2012
197," $169,814.19 ",404.88,York University,Professor,2012
198," $156,935.70 ",131.7,York University,Professor,2012
199," $109,399.04 ",264.34,York University,Associate Director Administration,2012
200," $106,547.87 ",285,York University,Associate Professor,2012
201," $104,706.29 ",255.87,York University,"Senior Advisor, Policy, Operations & Communications",2012
202," $123,546.72 ",292.41,York University,Associate Professor,2012
203," $139,181.92 ",306.99,York University,Associate Professor,2012
204," $115,508.40 ",277.67,York University,Associate Professor,2012
205," $219,801.58 ",489.84,York University,Professor,2012
206," $221,994.82 ",489.84,York University,Associate Professor,2012
207," $118,430.62 ",313.73,York University,Associate Professor,2012
208," $130,399.28 ",309.57,York University,Associate Professor,2012
209," $110,610.46 ",266.07,York University,Associate Professor,2012
210," $138,998.01 ",347.34,York University,Associate Professor,2012
211," $141,074.04 ",344.64,York University,Director Advancement,2012
212," $125,422.25 ",335.01,York University,Associate Professor,2012
213," $135,849.34 ",332.13,York University,Associate Professor,2012
214," $116,251.16 ",279.33,York University,Associate Lecturer,2012
215," $123,400.00 ",296.62,York University,Assistant Professor,2012
216," $178,219.82 ",430.2,York University,Professor,2012
217," $108,368.27 ",260.31,York University,Associate Professor,2012
218," $102,968.31 ",88.21,York University,Budget Officer,2012
219," $103,133.30 ",247.39,York University,Associate Professor,2012
220," $119,137.33 ",288.82,York University,Academic Policy Analyst,2012
221," $124,723.23 ",299.88,York University,Assistant Professor,2012
222," $135,597.64 ",323.16,York University,Manager Database & Systems Administrator,2012
223," $168,905.26 ",387.47,York University,Associate Professor,2012
224," $183,303.00 ",486.15,York University,Associate Professor,2012
225," $110,834.55 ",260.58,York University,Lecturer,2012
226," $127,492.08 ",307.91,York University,Associate Professor,2012
227," $107,062.85 ",247.85,York University,Associate Professor,2012
228," $113,044.76 ",265.14,York University,Assistant Professor,2012
229," $146,625.76 ",321.86,York University,Associate Professor,2012
230," $139,331.83 ",324.98,York University,"Director, Energy Management",2012
231," $123,306.73 ",275.18,York University,Assistant Professor,2012
232," $153,858.25 ",368.1,York University,Associate Professor,2012
233," $173,424.73 ",399.96,York University,Professor,2012
234," $151,826.66 ",365.15,York University,Professor,2012
235," $139,014.10 ",372.02,York University,Associate Professor,2012
236," $148,593.18 ",133.45,York University,Professor,2012
237," $155,787.76 ",302.91,York University,Associate Professor,2012
238," $113,028.60 ",256.25,York University,Assistant Professor,2012
239," $127,061.61 ",306.17,York University,Associate Lecturer,2012
240," $133,815.28 ",325.2,York University,Associate Professor,2012
241," $129,512.47 ",0,York University,Course Director,2012
242," $154,246.30 ",370.31,York University,Professor,2012
243," $125,596.22 ",284.25,York University,Associate Professor,2012
244," $105,413.68 ",256.53,York University,Senior Institution Analyst,2012
245," $134,958.94 ",243.26,York University,Assistant Professor,2012
246," $291,573.01 ",206.6,York University,Professor / Associate Dean,2012
247," $196,711.60 ",489.84,York University,Professor,2012
248," $151,353.51 ",121.86,York University,Associate Professor,2012
249," $100,745.31 ",244.57,York University,Manager Communications,2012
250," $114,415.09 ",275.18,York University,Associate Professor,2012
251," $108,935.31 ",0,York University,Advisor,2012
252," $125,993.72 ",85.77,York University,Assistant Professor,2012
253," $298,470.06 ",0,York University,Sales Advisor,2012
254," $129,790.81 ",315.44,York University,Associate Lecturer,2012
255," $110,013.44 ",258.63,York University,Assistant Librarian,2012
256," $157,535.28 ",386.16,York University,Associate Professor,2012
257," $256,434.81 ",489.84,York University,Professor,2012
258," $194,294.22 ",362.52,York University,Executive Director Institutional Research & Analysis / Executive Director Ontario Council for Articulation and Transfer,2012
259," $159,600.57 ",128.46,York University,Associate Professor,2012
260," $154,247.06 ",370.01,York University,Associate Professor,2012
261," $108,276.21 ",260.31,York University,Associate Professor,2012
262," $190,579.84 ",423.6,York University,Professor,2012
263," $125,002.51 ",300.53,York University,Associate Professor,2012
264," $132,713.10 ",358.34,York University,Associate Professor,2012
265," $163,296.76 ",393.4,York University,Senior Lecturer / Associate Dean,2012
266," $138,058.67 ",318.69,York University,Professor,2012
267," $140,739.92 ",339.18,York University,Associate Professor,2012
268," $109,781.81 ",258.33,York University,Associate Professor,2012
269," $157,060.03 ",365.82,York University,Associate Professor /Dean,2012
270," $142,764.25 ",289.07,York University,Associate Lecturer,2012
271," $305,208.51 ",489.84,York University,Professor,2012
272," $108,927.67 ",262.3,York University,Executive Officer,2012
273," $116,551.53 ",275.24,York University,Associate Professor,2012
274," $110,529.04 ",262.01,York University,"Associate, Director Finance & Administration",2012
275," $122,285.67 ",294.01,York University,Associate Professor,2012
276," $128,070.56 ",308.04,York University,Associate Professor,2012
277," $116,144.98 ",226.71,York University,Assistant Lecturer,2012
278," $113,110.29 ",274.27,York University,Assistant Treasurer,2012
279," $119,520.12 ",291.48,York University,Director Computing Services,2012
280," $149,040.60 ",364.92,York University,Associate Professor,2012
281," $100,745.31 ",244.57,York University,"Manager, User Services",2012
282," $111,914.17 ",328.05,York University,Associate Professor,2012
283," $132,030.42 ",107.06,York University,Associate Professor,2012
284," $103,507.39 ",244.74,York University,Associate Professor,2012
285," $130,450.72 ",311.3,York University,Associate Professor,2012
286," $111,745.16 ",263.71,York University,Associate Professor,2012
287," $226,896.07 ",489.84,York University,Associate Professor,2012
288," $328,024.53 ",470.22,York University,Associate Professor,2012
289," $127,179.47 ",301.32,York University,Associate Professor,2012
290," $147,670.88 ",350.52,York University,Professor,2012
291," $159,456.61 ",384.38,York University,Associate Professor,2012
