ID,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year
1,"$133,593.72 ",$725.80 ,York University,Associate Professor,2015
2,"$100,905.23 ",$-,York University,Course Director,2015
3,"$108,406.25 ",$600.21 ,York University,Manager Job Evaluation And Compensation Services,2015
4,"$172,740.96 ",$939.48 ,York University,Associate Professor,2015
5,"$123,155.04 ",$224.48 ,York University,Lecturer,2015
6,"$152,038.32 ",$827.20 ,York University,Associate Professor,2015
7,"$173,923.84 ",$612.16 ,York University,Special Assistant Professor,2015
8,"$130,233.84 ",$707.68 ,York University,Associate Professor,2015
9,"$164,230.92 ",$887.84 ,York University,Associate Dean / Professor,2015
10,"$127,178.58 ",$700.81 ,York University,Associate Professor,2015
11,"$135,501.84 ",$724.04 ,York University,Associate Professor,2015
12,"$164,254.08 ",$586.30 ,York University,Associate Professor,2015
13,"$126,754.32 ",$754.80 ,York University,Associate Professor,2015
14,"$172,508.16 ",$314.92 ,York University,Professor,2015
15,"$126,820.08 ",$663.20 ,York University,Director Health Safety And Employment Well Being,2015
16,"$147,064.17 ",$754.80 ,York University,Associate Professor,2015
17,"$138,755.76 ",$827.20 ,York University,Associate Professor,2015
18,"$114,434.33 ",$599.08 ,York University,Director Information Technology Services,2015
19,"$145,428.72 ",$814.52 ,York University,Associate Professor,2015
20,"$132,913.80 ",$736.82 ,York University,Associate Professor,2015
21,"$134,225.16 ",$729.40 ,York University,Associate Professor,2015
22,"$140,905.98 ",$-,York University,Professor,2015
23,"$149,431.92 ",$768.80 ,York University,Professor,2015
24,"$163,164.06 ",$899.68 ,York University,Associate Professor,2015
25,"$118,679.64 ",$646.20 ,York University,Associate Librarian,2015
26,"$132,186.12 ",$718.60 ,York University,Associate Professor,2015
27,"$151,301.22 ",$901.22 ,York University,Professor,2015
28,"$120,496.65 ",$637.20 ,York University,Associate Professor,2015
29,"$156,794.01 ",$825.84 ,York University,Interim University Registrar,2015
30,"$137,078.92 ",$577.28 ,York University,Director Security Services,2015
31,"$176,419.38 ",$960.02 ,York University,Associate Professor,2015
32,"$131,888.16 ",$716.76 ,York University,Associate Professor,2015
33,"$194,345.30 ","$1,030.73 ",York University,Professor,2015
34,"$167,750.16 ",$912.32 ,York University,Professor,2015
35,"$101,640.00 ",$552.08 ,York University,Assistant Librarian,2015
36,"$102,500.68 ",$-,York University,Post Doctoral Fellow,2015
37,"$203,146.44 ","$1,086.04 ",York University,Professor,2015
38,"$140,981.58 ",$776.56 ,York University,Associate Professor,2015
39,"$141,165.96 ",$841.72 ,York University,Associate Professor,2015
40,"$165,672.96 ",$-,York University,Associate Professor,2015
41,"$140,066.76 ",$762.00 ,York University,Associate Professor,2015
42,"$119,027.04 ",$716.76 ,York University,Associate Professor,2015
43,"$119,273.18 ",$644.36 ,York University,Associate Professor,2015
44,"$151,655.64 ",$903.28 ,York University,Professor,2015
45,"$117,767.26 ",$168.60 ,York University,Squad Leader,2015
46,"$232,587.84 ","$1,086.04 ",York University,Associate Dean / Associate Professor,2015
47,"$101,746.44 ",$514.08 ,York University,Lecturer,2015
48,"$137,344.44 ",$747.56 ,York University,Associate Professor,2015
49,"$235,370.28 ",$427.16 ,York University,Professor,2015
50,"$160,122.96 ",$571.98 ,York University,Associate Librarian,2015
51,"$126,294.00 ",$661.22 ,York University,Associate Professor,2015
52,"$128,023.92 ",$707.68 ,York University,Associate Professor,2015
53,"$116,293.32 ",$553.84 ,York University,Associate Lecturer,2015
54,"$126,330.36 ",$686.08 ,York University,Associate Professor,2015
55,"$132,153.48 ",$751.20 ,York University,Associate Professor,2015
56,"$199,975.16 ",$950.32 ,York University,University Secretary And General Counsel,2015
57,"$181,390.20 ",$329.48 ,York University,Professor,2015
58,"$110,628.83 ",$561.04 ,York University,Construction Project Manager,2015
59,"$147,133.68 ",$800.04 ,York University,Associate Professor,2015
60,"$152,765.52 ",$830.88 ,York University,Associate Professor,2015
61,"$114,924.75 ",$450.68 ,York University,Associate Director University Events And Ceremonies,2015
62,"$152,269.32 ",$838.00 ,York University,Associate Professor,2015
63,"$122,687.40 ",$684.16 ,York University,Associate Professor,2015
64,"$289,481.76 ","$1,086.04 ",York University,Professor / Endowed Chair,2015
65,"$215,505.74 ","$1,086.04 ",York University,Professor,2015
66,"$149,236.86 ",$811.26 ,York University,Associate Professor,2015
67,"$103,454.84 ",$-,York University,Course Director,2015
68,"$145,038.84 ",$736.76 ,York University,Associate Professor,2015
69,"$142,467.30 ",$712.97 ,York University,Executive Director Centre For Human Rights,2015
70,"$142,448.64 ",$508.80 ,York University,Associate Professor,2015
71,"$104,239.60 ",$544.80 ,York University,Assistant Professor,2015
72,"$345,020.95 ","$1,086.04 ",York University,Professor / Endowed Chair,2015
73,"$170,894.16 ",$309.48 ,York University,Associate Professor,2015
74,"$117,602.46 ",$700.56 ,York University,Associate Professor,2015
75,"$129,877.56 ",$716.55 ,York University,Associate Professor,2015
76,"$110,587.44 ",$286.00 ,York University,Associate Lecturer,2015
77,"$135,123.12 ",$718.60 ,York University,Associate Professor,2015
78,"$143,102.46 ",$852.56 ,York University,Professor,2015
79,"$147,647.52 ",$801.80 ,York University,Associate Professor,2015
80,"$137,142.31 ",$863.48 ,York University,Professor,2015
81,"$138,219.78 ",$823.60 ,York University,Associate Professor,2015
82,"$114,879.72 ",$618.01 ,York University,Director Yu Card Food And Parking Services,2015
83,"$109,254.12 ",$593.72 ,York University,Associate Professor,2015
84,"$126,980.16 ",$568.39 ,York University,Manager Learning Disability Service / Course Director,2015
85,"$121,647.30 ",$660.82 ,York University,Associate Professor,2015
86,"$153,441.00 ",$834.40 ,York University,Associate Professor,2015
87,"$211,670.76 ",$-,York University,Professor,2015
88,"$171,194.64 ",$611.26 ,York University,Professor,2015
89,"$129,999.96 ",$705.92 ,York University,Associate Professor,2015
90,"$127,295.28 ",$713.20 ,York University,Associate Professor,2015
91,"$136,949.04 ",$743.88 ,York University,Associate Professor,2015
92,"$102,026.72 ",$551.76 ,York University,Senior Lawyer,2015
93,"$135,870.88 ",$519.44 ,York University,Associate Professor,2015
94,"$112,935.36 ",$613.68 ,York University,Associate Professor,2015
95,"$153,213.00 ",$865.24 ,York University,Professor,2015
96,"$142,229.40 ",$772.96 ,York University,Associate Professor,2015
97,"$166,081.26 ",$912.32 ,York University,Associate Professor,2015
98,"$191,342.88 ",$-,York University,Associate Professor,2015
99,"$184,807.56 ",$316.80 ,York University,Professor,2015
100,"$126,257.73 ",$734.92 ,York University,Associate Lecturer,2015
101,"$172,814.28 ",$313.08 ,York University,Professor,2015
102,"$103,882.26 ",$533.52 ,York University,Associate Professor,2015
103,"$214,959.60 ","$1,086.04 ",York University,Professor / Course Director,2015
104,"$104,469.30 ",$183.30 ,York University,Professor,2015
105,"$340,902.72 ",$617.20 ,York University,Professor / Endowed Chair,2015
106,"$211,044.84 ","$1,086.04 ",York University,Associate Professor,2015
107,"$131,189.57 ",$702.11 ,York University,Director Of Development,2015
108,"$156,220.08 ",$852.68 ,York University,Professor,2015
109,"$143,485.73 ",$750.93 ,York University,Deputy Registrar,2015
110,"$154,887.36 ",$842.68 ,York University,Associate Professor,2015
111,"$146,917.44 ",$785.14 ,York University,Executive Director Government Institution And International Relations,2015
112,"$111,439.61 ",$601.48 ,York University,Associate Director Faculty Relations,2015
113,"$234,425.76 ","$1,086.04 ",York University,Professor,2015
114,"$187,729.49 ",$944.84 ,York University,Professor,2015
115,"$140,396.76 ",$763.84 ,York University,Associate Professor,2015
116,"$181,309.20 ",$978.44 ,York University,Associate Dean / Associate Professor,2015
117,"$191,498.88 ","$1,040.80 ",York University,Professor,2015
118,"$170,046.60 ",$924.96 ,York University,Professor,2015
119,"$142,945.56 ",$791.00 ,York University,Associate Professor,2015
120,"$145,641.04 ",$-,York University,Course Director / Writing Instructor,2015
121,"$106,260.36 ",$537.60 ,York University,Lecturer,2015
122,"$161,727.84 ",$302.28 ,York University,Associate Professor,2015
123,"$157,183.32 ",$854.40 ,York University,Associate Professor,2015
124,"$152,954.84 ",$686.08 ,York University,Associate Professor,2015
125,"$165,801.00 ",$901.44 ,York University,Professor,2015
126,"$205,951.58 ","$1,010.16 ",York University,Associate Professor,2015
127,"$110,300.04 ",$597.32 ,York University,Assistant Professor,2015
128,"$128,145.41 ",$690.41 ,York University,Director Career Development Centre,2015
129,"$176,144.88 ",$320.44 ,York University,Professor,2015
130,"$248,928.00 ","$1,086.04 ",York University,Associate Dean / Associate Professor,2015
131,"$100,138.74 ",$533.99 ,York University,Director Design Recruitment And Admissions,2015
132,"$103,105.56 ",$560.14 ,York University,Associate Professor,2015
133,"$141,393.84 ",$769.32 ,York University,Associate Professor,2015
134,"$132,346.32 ",$668.58 ,York University,Associate Professor,2015
135,"$130,034.28 ",$798.20 ,York University,Associate Professor,2015
136,"$108,405.23 ",$583.89 ,York University,Process Reengineering And Service Enhancement-Client Solutions Manager,2015
137,"$107,770.28 ",$580.26 ,York University,Director Student Academic Services And Strategic Initiative,2015
138,"$128,509.20 ",$698.72 ,York University,Associate Professor,2015
139,"$110,029.68 ",$599.08 ,York University,Associate Professor,2015
140,"$101,188.45 ",$-,York University,Course Director,2015
141,"$113,136.74 ",$204.48 ,York University,Associate Professor,2015
142,"$126,001.68 ",$686.08 ,York University,Associate Professor,2015
143,"$136,857.66 ",$743.48 ,York University,Associate Professor,2015
144,"$115,868.88 ",$628.16 ,York University,Assistant Professor,2015
145,"$118,107.66 ",$704.16 ,York University,Professor,2015
146,"$122,915.76 ",$667.96 ,York University,Associate Professor,2015
147,"$112,190.66 ",$407.83 ,York University,Second Class Shift Engineer,2015
148,"$117,108.02 ",$619.29 ,York University,Director Donor Programs,2015
149,"$159,704.04 ",$569.36 ,York University,Associate Professor,2015
150,"$101,276.52 ",$386.07 ,York University,Maintenance Technician II,2015
151,"$169,965.48 ",$923.16 ,York University,Associate Professor,2015
152,"$155,722.14 ",$495.84 ,York University,Associate Professor,2015
153,"$118,912.87 ",$343.36 ,York University,Course Director,2015
154,"$110,135.24 ",$605.60 ,York University,Associate Professor,2015
155,"$274,984.24 ","$1,086.04 ",York University,Vice-President Finance And Administration,2015
156,"$126,489.05 ",$681.65 ,York University,Associate Director Research And Records,2015
