ID,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year
301,"$126,966.67 ",$751.46 ,York University,"Director, Computing Services",2016
302,"$101,545.65 ",$599.31 ,York University,"Manager, Network Operations",2016
303,"$143,265.85 ",$852.54 ,York University,Associate Professor,2016
304,"$130,124.22 ",$753.30 ,York University,Associate Professor,2016
305,"$154,655.83 ",$925.22 ,York University,Associate Professor,2016
306,"$155,345.90 ",$879.58 ,York University,Associate Professor / Canada Research Chair,2016
307,"$105,581.18 ",$239.41 ,York University,Application Support Specialist,2016
308,"$263,754.33 ","$1,192.28 ",York University,Professor,2016
309,"$336,651.03 ",$834.98 ,York University,Associate Professor,2016
310,"$138,337.27 ",$876.98 ,York University,Associate Professor,2016
311,"$164,571.73 ",$996.30 ,York University,Professor,2016
312,"$141,558.57 ",$790.02 ,York University,Associate Professor,2016
313,"$138,672.67 ",$882.34 ,York University,Assistant Professor,2016
314,"$138,189.18 ",$790.36 ,York University,Assistant Professor,2016
315,"$137,301.63 ",$784.11 ,York University,Professor,2016
316,"$161,053.64 ",$922.80 ,York University,Associate Librarian,2016
317,"$128,281.43 ",$701.03 ,York University,Associate Professor,2016
318,"$135,012.57 ",$781.66 ,York University,Associate Professor,2016
319,"$114,287.82 ",$0.00 ,York University,Course Director,2016
320,"$149,312.47 ",$866.42 ,York University,Associate Professor,2016
321,"$152,695.73 ",$872.33 ,York University,Associate Professor,2016
322,"$181,275.24 ",$0.00 ,York University,Professor,2016
323,"$146,060.21 ",$847.07 ,York University,Associate Professor,2016
324,"$105,711.72 ",$610.30 ,York University,Assistant Professor,2016
325,"$130,312.19 ",$748.96 ,York University,Associate Dean / Associate Professor,2016
326,"$176,292.12 ","$1,019.93 ",York University,Counsel and Accessibility for Ontarians with Disabilities Office Coordinator,2016
327,"$102,834.50 ",$194.52 ,York University,Assistant Lecturer,2016
328,"$164,203.14 ","$1,016.38 ",York University,Professor,2016
329,"$162,685.41 ",$967.22 ,York University,Associate Professor,2016
330,"$191,379.61 ","$1,110.65 ",York University,Professor,2016
331,"$225,092.96 ",$807.32 ,York University,Associate Professor,2016
332,"$163,201.15 ",$967.37 ,York University,Senior Lecturer,2016
333,"$129,584.92 ",$765.96 ,York University,Executive Officer,2016
334,"$127,917.28 ",$740.34 ,York University,Associate Librarian,2016
335,"$161,701.89 ",$939.53 ,York University,Associate Professor,2016
336,"$132,648.18 ",$744.48 ,York University,Associate Professor,2016
337,"$148,667.16 ",$817.66 ,York University,Associate Professor,2016
338,"$141,743.96 ",$821.38 ,York University,Associate Professor,2016
339,"$214,427.80 ","$1,192.28 ",York University,Associate Professor,2016
340,"$156,016.32 ",$996.25 ,York University,Associate Professor,2016
341,"$138,677.31 ",$803.68 ,York University,Executive Officer,2016
342,"$211,159.03 ",$410.74 ,York University,Professor,2016
343,"$116,387.49 ",$0.00 ,York University,Instructor,2016
344,"$174,050.09 ","$1,006.92 ",York University,Associate Professor,2016
345,"$153,300.00 ",$912.16 ,York University,Assistant Professor,2016
346,"$102,625.68 ",$0.00 ,York University,Course Director,2016
347,"$114,168.72 ",$674.52 ,York University,"Director, Business Development and Operations",2016
348,"$127,247.36 ",$753.11 ,York University,"Associate Director, Learning Strategies",2016
349,"$184,663.88 ","$1,051.58 ",York University,Comptroller,2016
350,"$176,741.26 ",$970.69 ,York University,Professor,2016
351,"$140,471.40 ",$813.45 ,York University,Associate Librarian,2016
352,"$132,106.20 ",$839.29 ,York University,Associate Professor,2016
353,"$125,630.71 ",$726.54 ,York University,Associate Professor,2016
354,"$176,702.91 ",$664.33 ,York University,Professor,2016
355,"$133,886.13 ",$758.41 ,York University,Associate Professor,2016
356,"$161,243.12 ",$935.50 ,York University,Associate Professor,2016
357,"$136,259.04 ",$789.57 ,York University,Associate Professor,2016
358,"$119,674.97 ",$734.89 ,York University,Associate Professor,2016
359,"$173,485.12 ","$1,091.96 ",York University,Professor,2016
360,"$154,123.02 ",$953.89 ,York University,Professor,2016
361,"$237,875.44 ","$1,192.28 ",York University,Associate Professor,2016
362,"$121,243.41 ",$701.26 ,York University,Associate Professor,2016
363,"$200,408.04 ",$961.74 ,York University,Associate Professor,2016
364,"$143,360.23 ",$867.02 ,York University,Associate Professor,2016
365,"$120,783.97 ",$713.39 ,York University,Client Solutions Manager,2016
366,"$125,385.64 ",$711.79 ,York University,Associate Professor,2016
367,"$137,043.25 ",$793.57 ,York University,Associate Professor,2016
368,"$125,097.51 ",$808.01 ,York University,Associate Professor,2016
369,"$144,012.10 ",$838.07 ,York University,Associate Professor,2016
370,"$202,303.21 ","$1,168.71 ",York University,Associate Professor,2016
371,"$162,879.74 ",$947.45 ,York University,Associate Professor,2016
372,"$140,639.52 ",$823.37 ,York University,Associate Librarian,2016
373,"$201,391.78 ","$1,022.33 ",York University,Associate Professor,2016
374,"$125,703.68 ",$742.08 ,York University,"Associate Director, Pension and Benefits",2016
375,"$117,072.72 ",$699.56 ,York University,Assistant Librarian,2016
376,"$103,567.10 ",$556.62 ,York University,Executive Officer,2016
377,"$123,139.96 ",$780.30 ,York University,Associate Professor,2016
378,"$156,561.26 ",$924.75 ,York University,Associate Professor,2016
379,"$138,566.04 ",$880.53 ,York University,Associate Lecturer,2016
380,"$136,779.15 ",$794.30 ,York University,Associate Librarian,2016
381,"$136,086.81 ",$786.31 ,York University,Associate Professor,2016
382,"$161,961.98 ",$941.37 ,York University,Senior Lecturer,2016
383,"$252,811.07 ",$492.25 ,York University,Professor,2016
384,"$124,788.85 ",$791.55 ,York University,Associate Professor,2016
385,"$203,372.42 ","$1,171.40 ",York University,Associate Professor,2016
386,"$139,594.88 ",$809.02 ,York University,Associate Professor,2016
387,"$207,607.75 ","$1,192.28 ",York University,Professor,2016
388,"$128,208.87 ",$757.97 ,York University,"Director, Strategic Policy and Planning",2016
389,"$108,598.84 ",$621.74 ,York University,Assistant Professor,2016
390,"$116,839.53 ",$690.45 ,York University,"Associate Director, Marketing and Creative Services",2016
391,"$183,433.93 ","$1,170.28 ",York University,Professor,2016
392,"$170,612.02 ",$982.33 ,York University,Professor,2016
393,"$171,621.24 ",$998.47 ,York University,Professor,2016
394,"$172,778.88 ","$1,034.29 ",York University,Professor,2016
395,"$127,135.48 ",$736.35 ,York University,Associate Professor,2016
396,"$145,221.48 ",$813.23 ,York University,Assistant Professor,2016
397,"$166,411.64 ",$981.49 ,York University,Professor,2016
398,"$188,428.24 ",$365.70 ,York University,Associate Librarian,2016
399,"$100,525.60 ",$578.62 ,York University,Assistant Professor,2016
400,"$108,307.68 ",$648.18 ,York University,Assistant Professor,2016
401,"$121,383.91 ",$703.42 ,York University,Executive Officer,2016
402,"$107,184.12 ",$632.76 ,York University,"Director, Workplace Relations and Academic Operations",2016
403,"$160,581.04 ",$944.11 ,York University,Associate Professor,2016
404,"$108,242.22 ",$614.38 ,York University,Assistant Professor,2016
405,"$273,903.76 ","$1,192.28 ",York University,Professor,2016
406,"$105,174.64 ",$620.93 ,York University,"Director, Strategic Research and Partnerships",2016
407,"$154,422.40 ",$896.23 ,York University,Associate Professor,2016
408,"$170,741.24 ",$963.89 ,York University,Associate Professor,2016
409,"$136,006.33 ",$957.37 ,York University,Associate Professor,2016
410,"$163,427.78 ",$949.42 ,York University,Associate Professor,2016
411,"$117,975.98 ",$681.34 ,York University,Associate Professor,2016
412,"$162,345.56 ",$308.50 ,York University,Associate Professor,2016
413,"$171,838.08 ",$0.00 ,York University,Associate Professor,2016
414,"$123,717.28 ",$710.34 ,York University,"Director, External Relations",2016
415,"$187,478.16 ",$0.00 ,York University,Assistant Professor,2016
416,"$229,051.31 ","$1,192.28 ",York University,Professor,2016
417,"$114,319.28 ",$675.67 ,York University,Senior Assistant Secretary,2016
